GeneID;Gene;Base mean;log2(FC);StdErr;Wald-Stats;P-value;P-adj;;;;;;;;;;;
ENSG00000225899;FRG2B;7,152900871;-1,620272806;0,374433676;-4,327262498;1,51E-05;5,18E-05;;;;;;;;;;;
ENSG00000107902;LHPP;1353,945824;-1,613703048;0,080584897;-20,02488198;3,34E-89;1,72E-87;;;;;;;;;;;
ENSG00000224660;SH3BP5-AS1;2979,725335;-1,611308564;0,063777622;-25,26448181;7,85E-141;8,69E-139;;;;;;;;;;;
ENSG00000141012;GALNS;3472,262863;-1,608095583;0,058298877;-27,58364601;1,75E-167;2,67E-165;;;;;;;;;;;
ENSG00000254238;AC100782.1;64,62759883;-1,607075169;0,284552808;-5,647722052;1,63E-08;7,28E-08;;;;;;;;;;;
ENSG00000134775;FHOD3;6421,575339;-1,606331784;0,044379903;-36,19502655;7,29E-287;2,64E-284;;;;;;;;;;;
ENSG00000185905;C16orf54;10,32751528;-1,60391027;0,385524585;-4,160332;3,18E-05;0,000105731;;;;;;;;;;;
ENSG00000169860;P2RY1;86,82534789;-1,602772125;0,253301219;-6,3275342;2,49E-10;1,27E-09;;;;;;;;;;;
ENSG00000151090;THRB;729,5943278;-1,595723524;0,094271227;-16,92694121;2,85E-64;9,28E-63;;;;;;;;;;;
ENSG00000270823;AC007938.2;846,0447286;-1,595268832;0,088863979;-17,95180507;4,65E-72;1,73E-70;;;;;;;;;;;
ENSG00000267060;PTGES3L;321,5353706;-1,593481545;0,146720143;-10,86068698;1,77E-27;1,98E-26;;;;;;;;;;;
ENSG00000163362;INAVA;239,4833486;-1,588457139;0,156998148;-10,11768076;4,61E-24;4,59E-23;;;;;;;;;;;
ENSG00000163874;ZC3H12A;1731,406061;-1,586878788;0,066070353;-24,01801585;1,80E-127;1,66E-125;;;;;;;;;;;
ENSG00000106484;MEST;3772,679341;-1,585328917;0,0620405;-25,55312911;5,07E-144;5,77E-142;;;;;;;;;;;
ENSG00000260910;LINC00565;62,92301852;-1,584764957;0,289528511;-5,473605873;4,41E-08;1,90E-07;;;;;;;;;;;
ENSG00000164161;HHIP;4359,439005;-1,581705325;0,054470736;-29,03770788;2,20E-185;3,95E-183;;;;;;;;;;;
ENSG00000205537;AC121338.1;40,8633656;-1,580265007;0,305763376;-5,168261247;2,36E-07;9,62E-07;;;;;;;;;;;
ENSG00000136689;IL1RN;51,97702669;-1,57750645;0,291777045;-5,406547498;6,43E-08;2,74E-07;;;;;;;;;;;
ENSG00000065621;GSTO2;197,6577908;-1,57216864;0,164393304;-9,563459076;1,14E-21;1,04E-20;;;;;;;;;;;
ENSG00000163017;ACTG2;87,4412562;-1,571482163;0,246399749;-6,377775004;1,80E-10;9,23E-10;;;;;;;;;;;
ENSG00000117595;IRF6;148,1148183;-1,57022611;0,197844763;-7,936657448;2,08E-15;1,43E-14;;;;;;;;;;;
ENSG00000111052;LIN7A;22,16735253;-1,566810601;0,366189209;-4,278691349;1,88E-05;6,39E-05;;;;;;;;;;;
ENSG00000091129;NRCAM;312,7460312;-1,563623619;0,161792719;-9,664363298;4,27E-22;3,97E-21;;;;;;;;;;;
ENSG00000179761;PIPOX;60,18917376;-1,55936803;0,28110128;-5,547353009;2,90E-08;1,27E-07;;;;;;;;;;;
ENSG00000255071;SAA2-SAA4;279,1209431;-1,558198472;0,150106817;-10,38059762;3,04E-25;3,17E-24;;;;;;;;;;;
ENSG00000233766;AC098617.1;1176,366815;-1,556417939;0,0774227;-20,10286319;6,97E-90;3,66E-88;;;;;;;;;;;
ENSG00000139182;CLSTN3;3425,203585;-1,554286496;0,064977636;-23,92032997;1,88E-126;1,73E-124;;;;;;;;;;;
ENSG00000166396;SERPINB7;285,8615663;-1,55294635;0,141455833;-10,9783126;4,86E-28;5,53E-27;;;;;;;;;;;
ENSG00000270149;AL591806.3;3224,491779;-1,552168586;0,059406163;-26,12807323;1,75E-150;2,10E-148;;;;;;;;;;;
ENSG00000152661;GJA1;2134,111718;-1,551833722;0,066202896;-23,44057149;1,65E-121;1,37E-119;;;;;;;;;;;
ENSG00000158769;F11R;5477,266953;-1,551459141;0,053337312;-29,08768887;5,14E-186;9,29E-184;;;;;;;;;;;
ENSG00000224715;Z82186.1;12,2827664;-1,549746241;0,385944967;-4,015459129;5,93E-05;0,000191843;;;;;;;;;;;
ENSG00000278341;AC138028.6;505,8623547;-1,548895487;0,113810175;-13,60946405;3,52E-42;6,27E-41;;;;;;;;;;;
ENSG00000116985;BMP8B;1018,390806;-1,540790417;0,081902744;-18,81243949;5,97E-79;2,56E-77;;;;;;;;;;;
ENSG00000219435;CATSPERZ;207,4755439;-1,539255901;0,169109214;-9,102140947;8,86E-20;7,45E-19;;;;;;;;;;;
ENSG00000257069;KCNK4-TEX40;219,5802378;-1,539069448;0,163895773;-9,390537762;5,97E-21;5,28E-20;;;;;;;;;;;
ENSG00000121690;DEPDC7;223,9208033;-1,537597808;0,159884059;-9,616955037;6,78E-22;6,24E-21;;;;;;;;;;;
ENSG00000228623;ZNF883;28,49867484;-1,537220178;0,349790029;-4,394694105;1,11E-05;3,85E-05;;;;;;;;;;;
ENSG00000076706;MCAM;15271,8302;-1,536874755;0,038301325;-40,12589026;0;0;;;;;;;;;;;
ENSG00000244479;OR2A1-AS1;37,96577885;-1,53661331;0,322083812;-4,770849239;1,83E-06;6,89E-06;;;;;;;;;;;
ENSG00000242575;AC012501.2;96,33623998;-1,532157132;0,227641653;-6,730565844;1,69E-11;9,26E-11;;;;;;;;;;;
ENSG00000183773;AIFM3;91,73983396;-1,528428492;0,239470118;-6,382543694;1,74E-10;8,96E-10;;;;;;;;;;;
ENSG00000070190;DAPP1;23,50777654;-1,528187256;0,371377422;-4,114916966;3,87E-05;0,000127754;;;;;;;;;;;
ENSG00000140284;SLC27A2;56,50407939;-1,526253564;0,314519929;-4,852645015;1,22E-06;4,66E-06;;;;;;;;;;;
ENSG00000173157;ADAMTS20;19,26753487;-1,525213203;0,374800097;-4,069404502;4,71E-05;0,000153967;;;;;;;;;;;
ENSG00000198768;APCDD1L;12835,15969;-1,519163809;0,049668342;-30,58615927;1,87E-205;3,76E-203;;;;;;;;;;;
ENSG00000168497;CAVIN2;8220,430216;-1,517199103;0,046005572;-32,97859471;1,65E-238;4,20E-236;;;;;;;;;;;
ENSG00000168135;KCNJ4;33,71838539;-1,513656035;0,343808627;-4,402612135;1,07E-05;3,73E-05;;;;;;;;;;;
ENSG00000184274;LINC00315;25,43467135;-1,51176176;0,361766703;-4,178830572;2,93E-05;9,78E-05;;;;;;;;;;;
ENSG00000111424;VDR;2266,702791;-1,511285269;0,063198978;-23,9131282;2,24E-126;2,04E-124;;;;;;;;;;;
ENSG00000261204;AC004449.1;16,73633788;-1,511186127;0,380270894;-3,97397264;7,07E-05;0,000226557;;;;;;;;;;;
ENSG00000130529;TRPM4;1782,561476;-1,509358815;0,077041384;-19,59153303;1,83E-85;8,76E-84;;;;;;;;;;;
ENSG00000179277;MEIS3P1;792,8778063;-1,509126072;0,099203714;-15,21239495;2,93E-52;6,94E-51;;;;;;;;;;;
ENSG00000075275;CELSR1;2191,358314;-1,502506154;0,088974032;-16,88701891;5,61E-64;1,80E-62;;;;;;;;;;;
ENSG00000158315;RHBDL2;801,1256284;-1,501926018;0,09023166;-16,6452221;3,28E-62;1,01E-60;;;;;;;;;;;
ENSG00000156140;ADAMTS3;436,8113996;-1,496282303;0,119705082;-12,49973918;7,49E-36;1,10E-34;;;;;;;;;;;
ENSG00000254285;KRT8P3;796,3215749;-1,496030492;0,099337128;-15,0601344;2,96E-51;6,84E-50;;;;;;;;;;;
ENSG00000168056;LTBP3;3152,827172;-1,489331629;0,075105255;-19,82992574;1,64E-87;8,13E-86;;;;;;;;;;;
ENSG00000132031;MATN3;868,3512033;-1,488962047;0,096925794;-15,36187622;2,95E-53;7,15E-52;;;;;;;;;;;
ENSG00000249279;LINC02057;113,0914602;-1,488683013;0,22428804;-6,637371353;3,19E-11;1,72E-10;;;;;;;;;;;
ENSG00000105371;ICAM4;373,6211572;-1,486188265;0,130151791;-11,41888445;3,37E-30;4,09E-29;;;;;;;;;;;
ENSG00000115165;CYTIP;31,68119727;-1,480634374;0,327470128;-4,521433393;6,14E-06;2,19E-05;;;;;;;;;;;
